n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
100000,Int32,KernelForge,79.67948913574219,2.094829810761337,404.5924,142.26648291428307
100000,Int32,CUDA,995.8267211914062,3.640863260044303,1111.8914,98.35694593825085
100000,Int32,AK,500.9174346923828,1.831327855078842,611.3106,73.03949007762856
1000000,Int32,KernelForge,373.077392578125,1.865158769188685,624.742,179.49923767526144
1000000,Int32,CUDA,12799.453735351562,6.279512693174728,10251.792800000001,1150.5714884689694
1000000,Int32,AK,7759.380340576172,563.3879807447075,6551.134,362.26714959336294
10000000,Int32,KernelForge,5287.599563598633,30.501461989045485,6443.116,62.66529215602525
10000000,Int32,CUDA,399400.37727355957,17921.1743074241,1.38244831775e6,734609.480042825
10000000,Int32,AK,443130.35011291504,220984.50360299958,497266.2364,211729.5436609942
