n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,138.45280627720058,1.677119879750535,146.16530727490039,1.1994251555719395
1000000,Float32,AK,102.00480464845896,1.8858677521348,110.86230463411658,0.8791826763886061
1000000,Float32,KernelForge,21.19839919032529,0.9725882593193091,27.934899144520053,0.37509689050651207
1000000,Float32,CUB,17.721,0.18100000000000002,NaN,NaN
1000000,Float64,CUDA,288.83840423077345,0.4483388923108578,303.0243970882892,0.9295811684801243
1000000,Float64,AK,161.99119272641838,1.419742702273652,175.3566943979934,8.127613701123337
1000000,Float64,KernelForge,51.605599583126605,1.8372341321082786,58.784598137209194,0.3639819372448798
1000000,Float64,CUB,57.368,0.389,NaN,NaN
10000000,Float32,CUDA,1819.359976798296,16.963282395154238,1839.005404494673,2.673110740908134
10000000,Float32,AK,2086.0543474555016,5.7832541316747665,2105.854406428516,2.980113803748577
10000000,Float32,KernelForge,519.2391807213426,1.7945637507364154,535.8216928394586,2.683466862320585
10000000,Float32,CUB,476.543,2.462,NaN,NaN
10000000,Float64,CUDA,3725.184127688408,4.414626136422157,3894.962137392819,21.001601202001414
10000000,Float64,AK,4679.690487682819,28.763556517660618,4703.814586289406,6.460445054507553
10000000,Float64,KernelForge,951.5192359685898,3.647189252078533,1062.586267999053,14.404160156671665
10000000,Float64,CUB,947.2040000000001,4.254,NaN,NaN
100000000,Float32,CUDA,19087.038934230804,405.9224706888199,19151.65703370762,19.573128140625442
100000000,Float32,AK,34167.59520769119,338.211285173893,34209.60878631687,10.78646172656644
100000000,Float32,KernelForge,4746.672697365284,2.7198581770062447,4861.935261764884,26.59289774404964
100000000,Float32,CUB,4775.661,9.219,NaN,NaN
100000000,Float64,CUDA,38455.75004816055,25.47923594713211,38520.69580297565,9.018184889109419
100000000,Float64,AK,159949.16558265686,12.893160581588745,160009.54987240984,12.052414913951095
100000000,Float64,KernelForge,9326.843172311783,143.2618810236454,9363.370722787618,6.588090861385436
100000000,Float64,CUB,10006.573,520.701,NaN,NaN
1000000000,Float32,CUDA,NaN,NaN,NaN,NaN
1000000000,Float32,AK,NaN,NaN,NaN,NaN
1000000000,Float32,KernelForge,NaN,NaN,NaN,NaN
1000000000,Float32,CUB,NaN,NaN,NaN,NaN
1000000000,Float64,CUDA,NaN,NaN,NaN,NaN
1000000000,Float64,AK,NaN,NaN,NaN,NaN
1000000000,Float64,KernelForge,NaN,NaN,NaN,NaN
1000000000,Float64,CUB,NaN,NaN,NaN,NaN
