n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,CUDA,53.316797129809856,0.023723506601527333,64.96379716569837,0.4054919150392456
1000000,Float32,AK,44.54480076674372,0.22654265980236232,56.08530050732009,0.17272358978878688
1000000,Float32,KernelForge,16.030399274313822,0.19214508545701392,27.605899228590538,0.4188339668654007
1000000,Float32,CUB,10.477,0.098,NaN,NaN
1000000,Float64,CUDA,57.55679740104824,0.06879299122374505,69.3277955323197,0.4314297007755595
1000000,Float64,AK,47.44399921037257,0.16961142187938094,59.18700009278487,0.1415909337831789
1000000,Float64,KernelForge,17.655199917498976,0.4779911180958152,29.611700675280765,0.5166858492560852
1000000,Float64,CUB,11.472,0.212,NaN,NaN
1000000,UnitFloat8→Float32,CUDA,57.75999743491411,1.4517595118377358,69.46949869629927,0.13047049252142676
1000000,UnitFloat8→Float32,AK,57.340002967976034,1.296383056906052,69.19000202935003,0.43662318988765764
1000000,UnitFloat8→Float32,KernelForge,80.9264020062983,13.606708256411366,92.65840580446832,0.10156449797963357
1000000,UnitFloat8→Float32,CUB,9.735000000000001,0.199,NaN,NaN
1000000,UInt8,CUDA,56.725600734353065,0.34515156294219196,68.47410068494175,0.1319508980261338
1000000,UInt8,AK,46.47519963327795,0.31549502222333103,58.47420110787172,0.36397848817944495
1000000,UInt8,KernelForge,15.658399934181944,0.48510752283618785,27.513400480804034,0.38992467808974185
1000000,UInt8,CUB,9.788,1.81,NaN,NaN
10000000,Float32,CUDA,90.7527981325984,0.3095706179738045,101.7363004056979,0.18755002895516654
10000000,Float32,AK,81.4600003650412,0.13402616197708994,92.56349883210287,0.2416604136205368
10000000,Float32,KernelForge,30.699999479111284,0.015419416304212064,42.91950044665951,0.41290303373081694
10000000,Float32,CUB,33.784,0.656,NaN,NaN
10000000,Float64,CUDA,102.00480464845896,0.8255158946849406,112.97280345163867,0.18680496597379367
10000000,Float64,AK,89.70880007836968,0.00948853965383023,100.7587987982165,0.12379559468594423
10000000,Float64,KernelForge,54.657598957419395,1.21217712177895,66.98259945692494,0.4662755677046549
10000000,Float64,CUB,55.699,0.745,NaN,NaN
10000000,UnitFloat8→Float32,CUDA,63.36880032904446,0.23840009816922247,74.65379947530852,0.36101560853271975
10000000,UnitFloat8→Float32,AK,87.61680219322443,0.039136450504884124,98.85930260497145,0.20459478663925768
10000000,UnitFloat8→Float32,KernelForge,73.09119973797351,0.5503482447238639,84.15319922166691,0.13936540431226613
10000000,UnitFloat8→Float32,CUB,14.211,0.146,NaN,NaN
10000000,UInt8,CUDA,63.68479807861149,0.6025287404190749,74.66980069364794,0.09414271671771049
10000000,UInt8,AK,78.24079948477447,0.8575327042490244,89.37380336693302,0.22461415098693532
10000000,UInt8,KernelForge,15.185599477263168,0.49340945566655137,26.946598818258845,0.4121635840000227
10000000,UInt8,CUB,14.252,0.112,NaN,NaN
100000000,Float32,CUDA,468.74238178133965,0.07829016074538231,479.9673756337687,0.2090450955364649
100000000,Float32,AK,448.3015974983573,0.2478843228891492,459.48910285936296,0.14975363832169478
100000000,Float32,KernelForge,233.0631949007511,0.39497178979218006,245.69569859395176,0.6605038187963265
100000000,Float32,CUB,222.051,0.983,NaN,NaN
100000000,Float64,CUDA,571.3936174288392,0.3866525972262025,582.6156119457186,0.20907018147139497
100000000,Float64,AK,531.6320108249784,0.2158502535894513,542.8759819960445,0.18382935451187016
100000000,Float64,KernelForge,442.6456056535244,0.17908701673150063,464.006090369463,1.647874276502208
100000000,Float64,CUB,428.361,1.294,NaN,NaN
100000000,UnitFloat8→Float32,CUDA,428.31837199628353,1.0674801282584667,439.50938480556755,0.18828819368414357
100000000,UnitFloat8→Float32,AK,598.1056019663811,1.0247450228780508,609.4126252397448,0.17644895255761753
100000000,UnitFloat8→Float32,KernelForge,138.5440002195537,1.3900991063565016,149.65450307991728,0.1949546229585544
100000000,UnitFloat8→Float32,CUB,68.564,1.6119999999999999,NaN,NaN
100000000,UInt8,CUDA,412.55601681768894,1.671225680038333,423.69302116771786,0.18236280965605972
100000000,UInt8,AK,448.68721161037683,0.22655128967016935,459.8587176478803,0.21126598405786878
100000000,UInt8,KernelForge,72.45760061778128,0.3273567755240947,84.36209739253297,0.5633882505009
100000000,UInt8,CUB,68.835,1.681,NaN,NaN
1000000000,Float32,CUDA,4181.6215962171555,1.8750976771116257,4193.039937340021,0.16569473035543442
1000000000,Float32,AK,3994.2776784300804,0.08201826363801956,4005.9546843835114,0.3670017012641365
1000000000,Float32,KernelForge,2162.262424826622,0.15437107533216476,2186.407837255657,1.110385114682778
1000000000,Float32,CUB,2105.778,5.265,NaN,NaN
1000000000,Float64,CUDA,5104.573629796505,2.1454541757702827,5116.225075040698,0.2021827362343527
1000000000,Float64,AK,4764.167964458466,1.3139491528272629,4775.936191126823,0.26647992240572255
1000000000,Float64,KernelForge,4316.681623458862,2.156224250793457,4343.317487912297,0.9993336104347025
1000000000,Float64,CUB,4168.394,9.272,NaN,NaN
1000000000,UnitFloat8→Float32,CUDA,3672.664240002632,1.449265480041504,3684.357670527458,0.22218930474437418
1000000000,UnitFloat8→Float32,AK,5236.328952014446,127.52845834940672,5248.177276779414,0.3421063075717219
1000000000,UnitFloat8→Float32,KernelForge,673.8872034475207,1.06392462272197,685.3777040445209,0.3528016031693827
1000000000,UnitFloat8→Float32,CUB,606.9639999999999,5.029999999999999,NaN,NaN
1000000000,UInt8,CUDA,3617.2088235616684,0.75335294008255,3628.6694202553035,0.3135282559750442
1000000000,UInt8,AK,3999.1719648241997,0.2548917755484581,4010.9180002194644,0.652628986038413
1000000000,UInt8,KernelForge,591.882411390543,0.032034069299697876,612.1724211328029,0.7546027584647538
1000000000,UInt8,CUB,607.2520000000001,4.606,NaN,NaN
