n,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
1000000,Float32,Base,33.7177247274667,0.910873917164281,43.22822492387891,0.3839912834938598
1000000,Float32,AK,32.09602436982095,0.20360015623737127,42.555025105668236,0.601932291685632
1000000,Float32,AK-DL,197.55858229473233,0.05497225793078542,208.48908172995226,0.7116490499939361
1000000,Float32,KernelForge,21.265399118419737,0.6107573193730786,30.691399674738758,0.4870354797294569
1000000,Float32,rocPRIM,12.508999999999999,0.651,NaN,NaN
1000000,Float64,Base,35.646148899104446,1.0773289648932405,45.359148375846445,0.28021219940191583
1000000,Float64,AK,36.16127505665645,0.31954027275787666,46.684774659371,0.46998507739106476
1000000,Float64,AK-DL,219.8923844844103,0.19617415498942137,231.3673867514506,0.6412298927256855
1000000,Float64,KernelForge,32.33960014767945,0.011935107177123427,42.144602277594615,0.5774778742284792
1000000,Float64,rocPRIM,14.019,1.202,NaN,NaN
10000000,Float32,Base,105.74762709438801,0.9584676381200552,115.79612693338841,0.5092678946183731
10000000,Float32,AK,146.09142672270536,1.0773699567653239,156.2869275195673,0.9844524993972389
10000000,Float32,AK-DL,1850.3585830330849,0.5647385492920876,1861.8820181111992,0.25415943695793725
10000000,Float32,KernelForge,41.06144915567711,0.41312687419122085,51.36644939157367,0.5426317254023342
10000000,Float32,rocPRIM,36.290000000000006,0.8350000000000001,NaN,NaN
10000000,Float64,Base,190.17072627320886,1.3284473307430744,201.3912263988033,0.7694680051648404
10000000,Float64,AK,251.92624889314175,1.1665164912119508,263.2177347875461,0.7642377942363948
10000000,Float64,AK-DL,2084.317896515131,0.8101029507815838,2096.9478963401316,0.5693531920921447
10000000,Float64,KernelForge,122.29829444549978,2.609369979472831,131.54779259905965,0.2943032516391189
10000000,Float64,rocPRIM,52.071,1.071,NaN,NaN
100000000,Float32,Base,2115.991059690714,1.982384193688631,2128.472040718615,0.35646228682827025
100000000,Float32,AK,2482.303511351347,9.963562097400427,2494.8318721057176,1.2340809929442902
100000000,Float32,AK-DL,19493.471831083298,0.6042288243770599,19509.871050995825,5.593131611895788
100000000,Float32,KernelForge,279.9650654196739,5.718046850524843,290.74504650565984,0.5448408858587512
100000000,Float32,rocPRIM,276.95599999999996,2.145,NaN,NaN
100000000,Float64,Base,2617.2837242484093,0.10990999639034271,2631.1692317210436,0.9049580588422644
100000000,Float64,AK,3185.502626001835,8.870951794087887,3198.8621561027767,1.0363496327726578
100000000,Float64,AK-DL,22016.44405722618,3.4895043075084686,22031.0600232172,3.0346024790356267
100000000,Float64,KernelForge,1298.3023189008236,0.9717921540141106,1310.0143108855784,0.6093722916464631
100000000,Float64,rocPRIM,507.148,2.9949999999999997,NaN,NaN
1000000000,Float32,Base,156253.74913215637,50.71545481681824,156282.35021878436,1.1900440704942825
1000000000,Float32,AK,159916.13268852234,1.7232120037078857,159946.069837883,1.2469862230857223
1000000000,Float32,AK-DL,195435.98890304565,28.773221969604492,195469.2939733276,4.140588526766412
1000000000,Float32,KernelForge,2681.7134581506252,4.159320127218962,2694.319916312039,1.4359324026116764
1000000000,Float32,rocPRIM,2673.239,7.617,NaN,NaN
1000000000,Float64,Base,269961.23790740967,32.69684314727783,269996.4919943084,3.3823508183156896
1000000000,Float64,AK,275074.9945640564,52.15588331222534,275110.02643124387,2.33578784222285
1000000000,Float64,AK-DL,220163.3334159851,7.08726167678833,220196.19874017715,2.6145743187282173
1000000000,Float64,KernelForge,12956.788390874863,3.255324214696884,12969.969248547794,1.7998530233479255
1000000000,Float64,rocPRIM,5000.45,16.008000000000003,NaN,NaN
